dem_req_rate	req_rate_wp_with_naxsi.test.nl	con_rate_wp_with_naxsi.test.nl	min_rep_rate_wp_with_naxsi.test.nl	avg_rep_rate_wp_with_naxsi.test.nl	max_rep_rate_wp_with_naxsi.test.nl	stddev_rep_rate_wp_with_naxsi.test.nl	resp_time_wp_with_naxsi.test.nl	net_io_wp_with_naxsi.test.nl	errors_wp_with_naxsi.test.nl
108	105.6	105.6	95.6	105.8	108.4	4.5	1139.1	698.0	0
109	106.6	106.6	95.8	106.8	109.6	5.1	1138.8	697.2	0
110	107.6	107.6	96.0	107.8	110.8	5.3	1132.5	698.7	0
111	108.5	108.5	95.8	108.8	111.2	5.2	1130.5	698.8	0
112	109.5	109.5	95.8	109.8	112.6	5.3	1125.3	699.0	0
113	110.5	110.5	95.8	110.8	113.6	5.4	1119.5	699.1	0
114	111.4	111.4	95.4	111.8	114.6	5.7	1116.1	699.0	0
115	112.4	112.4	95.6	112.8	115.6	5.8	1111.1	701.5	0
116	113.4	113.4	95.4	113.8	116.4	6.1	1104.4	700.5	0
117	114.4	114.4	95.2	114.8	117.6	6.3	1098.5	701.2	0
118	115.4	115.4	95.4	115.8	118.6	6.5	1091.3	701.4	0
119	116.3	116.3	95.8	116.8	119.8	6.7	1084.2	701.8	0
120	117.3	117.3	94.6	117.8	120.6	7.3	1077.6	700.7	0
121	118.3	118.3	95.0	118.8	121.6	7.5	1073.0	703.3	0
122	119.3	119.3	95.2	119.8	122.6	7.8	1064.6	702.0	0
123	120.2	120.2	96.0	120.8	123.6	7.8	1057.6	702.7	0
124	121.2	121.2	97.4	121.8	124.6	7.7	1049.1	703.2	0
125	122.2	122.2	98.0	122.8	125.6	7.8	1044.1	703.1	0
126	123.2	123.2	99.0	123.8	126.4	7.8	1037.1	704.7	0
127	124.2	124.2	100.2	124.8	127.8	7.8	1029.2	704.3	0
128	125.2	125.2	101.2	125.8	128.8	7.7	1023.4	704.6	0
